Date,Oil,Gold $,Silver $,Platinum $,Palladium $,Euro_USD,TIPS,VIX,Inflation_index,BTC,BTC Volume,BNB,LTC,XMR,ETH,SP500
2010-09-02,74.93,1248.5,19.45,1550.0,521.0,1.2818,,23.190001,1.69,0.06,7551.0,,,,,1090.1
2010-09-03,75.03,1240.5,19.66,1553.0,524.0,1.2834,,21.309999,1.72,0.06,829.0,,,,,1104.51
2010-09-04,,,,,,,,,,0.06,3057.0,,,,,
2010-09-05,,,,,,,,,,0.06,7851.0,,,,,
2010-09-06,75.405,1249.0,19.86,1562.0,529.0,1.2874,,22.554999000000002,.,0.06,845.0,,,,,
2010-09-07,75.78,1256.75,19.65,1556.0,529.0,1.2744,,23.799999,1.65,0.06,3203.0,,,,,1091.84
2010-09-08,77.48,1255.0,20.02,1555.0,523.0,1.2697,,23.25,1.69,0.06,2169.0,,,,,1098.87
2010-09-09,77.87,1255.0,19.97,1552.0,523.0,1.2715,,22.809999,1.73,0.06,1609.0,,,,,1104.18
2010-09-10,77.54,1246.5,19.9,1545.0,518.0,1.2725,,21.99,1.73,0.06,4576.0,,,,,1109.55
2010-09-11,,,,,,,,,,0.06,7126.0,,,,,
2010-09-12,,,,,,,,,,0.06,738.0,,,,,
2010-09-13,78.52,1243.75,19.9,1545.0,518.0,1.2801,,21.209999,1.65,0.06,9316.0,,,,,1121.9
2010-09-14,78.89,1265.5,20.31,1569.0,544.0,1.285,,21.559999,1.66,0.06,13039.0,,,,,1121.1
2010-09-15,78.46,1267.0,20.44,1584.5,546.0,1.2989,,22.1,1.72,0.07,3393.0,,,,,1125.07
2010-09-16,78.89,1272.5,20.76,1602.0,554.0,1.3078,,21.719999,1.77,0.08,675.0,,,,,1124.66
2010-09-17,77.43,1274.0,20.85,1618.0,547.0,1.306,,22.01,1.79,0.05,6751.0,,,,,1125.59
2010-09-18,,,,,,,,,,0.06,6583.0,,,,,
2010-09-19,,,,,,,,,,0.06,11974.0,,,,,
2010-09-20,79.42,1279.25,20.91,1616.0,536.0,1.3074,,21.5,1.74,0.06,13271.0,,,,,1142.71
2010-09-21,78.76,1275.0,20.76,1615.0,530.0,1.312,,22.35,1.61,0.06,5293.0,,,,,1139.78
2010-09-22,77.29,1293.5,21.08,1632.0,543.0,1.3364,,22.51,1.56,0.06,10695.0,,,,,1134.28
2010-09-23,77.69,1290.75,21.08,1631.0,541.0,1.3323,,23.870001,1.59,0.06,14405.0,,,,,1124.83
2010-09-24,78.73,1297.0,21.35,1645.0,562.0,1.3412,,21.709999,1.65,0.06,634.0,,,,,1148.67
2010-09-25,,,,,,,,,,0.06,1995.0,,,,,
2010-09-26,,,,,,,,,,0.06,11167.0,,,,,
2010-09-27,77.71,1297.0,21.54,1634.0,558.0,1.3477,,22.540001,1.61,0.06,9940.0,,,,,1142.16
2010-09-28,79.14,1294.0,21.165,1614.0,552.0,1.346,,22.6,1.53,0.06,6575.0,,,,,1147.7
2010-09-29,78.79,1307.5,21.87,1647.0,564.0,1.3611,,23.25,1.58,0.06,21766.0,,,,,1144.73
2010-09-30,80.77,1307.0,22.07,1662.0,573.0,1.3648,,23.700001,1.63,0.06,7364.0,,,,,1141.2
2010-10-01,82.69,1316.25,21.95,1679.0,571.0,1.3726,,22.5,1.61,0.06,1595.0,,,,,1146.24
2010-10-02,,,,,,,,,,0.06,12119.0,,,,,
2010-10-03,,,,,,,,,,0.06,6653.0,,,,,
2010-10-04,83.42,1313.5,22.03,1667.0,565.0,1.3705,,23.530001,1.59,0.06,31407.0,,,,,1137.03
2010-10-05,83.35,1330.5,22.24,1689.0,569.0,1.378,,21.76,1.54,0.06,25473.0,,,,,1160.75
2010-10-06,85.01,1346.5,22.92,1694.0,583.0,1.3856,,21.49,1.43,0.06,30988.0,,,,,1159.97
2010-10-07,83.67,1345.0,23.38,1723.0,598.0,1.397,,21.559999,1.48,0.06,40509.0,,,,,1158.06
2010-10-08,83.88,1341.5,22.37,1683.0,572.0,1.3874,,20.709999,1.42,0.07,128780.0,,,,,1165.15
2010-10-09,,,,,,,,,,0.09,173747.0,,,,,
2010-10-10,,,,,,,,,,0.11,46797.0,,,,,
2010-10-11,83.08,1351.5,23.31,1686.0,584.0,1.3936,,18.959999,.,0.11,13090.0,,,,,1165.32
2010-10-12,82.99,1348.5,23.03,1685.5,585.0,1.3833,,18.93,1.46,0.11,23855.0,,,,,1169.77
2010-10-13,84.01,1365.5,23.53,1696.0,587.0,1.3958,,19.07,1.41,0.1,44016.0,,,,,1178.1
2010-10-14,83.55,1373.25,24.49,1708.0,598.0,1.4101,,19.879999,1.36,0.09,34584.0,,,,,1173.81
2010-10-15,81.94,1367.5,24.42,1691.0,591.0,1.4089,,19.030001,1.42,0.1,22946.0,,,,,1176.19
2010-10-16,,,,,,,,,,0.09,5817.0,,,,,
2010-10-17,,,,,,,,,,0.1,16825.0,,,,,
2010-10-18,82.3,1367.25,24.02,1686.0,582.0,1.3896,,19.09,1.39,0.09,23774.0,,,,,1184.71
2010-10-19,81.12,1339.0,24.26,1672.0,571.0,1.3859,,20.629999,1.35,0.09,5776.0,,,,,1165.9
2010-10-20,81.68,1339.0,23.71,1670.0,581.0,1.3861,,19.790001,1.36,0.09,29471.0,,,,,1178.17
2010-10-21,81.28,1343.5,23.9,1682.0,596.0,1.4016,,19.27,1.38,0.09,41554.0,,,,,1180.26
2010-10-22,80.75,1322.5,23.05,1673.0,586.0,1.3934,,18.780001,1.40,0.1,32025.0,,,,,1183.08
2010-10-23,,,,,,,,,,0.1,4079.0,,,,,
2010-10-24,,,,,,,,,,0.12,12849.0,,,,,
2010-10-25,81.91,1337.5,23.71,1702.0,611.0,1.4031,,19.85,1.35,0.14,28096.0,,,,,1185.62
2010-10-26,82.62,1329.5,23.48,1696.0,608.0,1.3912,,20.219999,1.42,0.14,17840.0,,,,,1185.64
2010-10-27,81.27,1324.5,23.77,1695.0,622.0,1.3803,,20.709999,1.48,0.18,60815.0,,,,,1182.45
2010-10-28,82.97,1333.5,23.73,1685.0,626.0,1.3857,,20.879999,1.45,0.16,20009.0,,,,,1183.78
2010-10-29,82.47,1346.75,23.96,1700.0,640.0,1.3857,,21.200001,1.41,0.18,26588.0,,,,,1183.26
2010-10-30,,,,,,,,,,0.18,24644.0,,,,,
2010-10-31,,,,,,,,,,0.18,37333.0,,,,,
2010-11-01,84.06,1354.5,24.91,1715.0,644.0,1.3926,,21.83,1.40,0.18,19679.0,,,,,1184.38
2010-11-02,84.71,1351.0,24.73,1718.0,650.0,1.4018,,21.57,1.35,0.18,5425.0,,,,,1193.57
2010-11-03,85.33,1345.5,25.0,1709.0,638.0,1.4014,,19.559999,1.43,0.18,57059.0,,,,,1197.96
2010-11-04,86.83,1381.0,25.38,1740.0,668.0,1.4244,,18.52,1.47,0.22,27486.0,,,,,1221.06
2010-11-05,87.05,1395.5,26.14,1764.0,687.0,1.4084,,18.26,1.52,0.23,33986.0,,,,,1225.85
2010-11-06,,,,,,,,,,0.3,30325.0,,,,,
2010-11-07,,,,,,,,,,0.32,71518.0,,,,,
2010-11-08,87.15,1388.5,26.72,1752.0,694.0,1.3917,,18.290001,1.52,0.41,109662.0,,,,,1223.25
2010-11-09,87.93,1421.0,28.55,1786.0,730.0,1.3945,,19.08,1.62,0.21,44366.0,,,,,1213.4
2010-11-10,87.92,1390.5,27.53,1768.0,714.0,1.377,,18.469999,1.58,0.29,28050.0,,,,,1218.71
2010-11-11,88.08,1398.5,27.75,1754.0,715.0,1.37,,18.639999,.,0.22,4655.0,,,,,1213.54
2010-11-12,86.07,1388.5,26.79,1712.0,703.0,1.3711,,20.610001,1.66,0.24,37789.0,,,,,1199.21
2010-11-13,,,,,,,,,,0.25,20334.0,,,,,
2010-11-14,,,,,,,,,,0.27,15571.0,,,,,
2010-11-15,85.49,1368.5,26.01,1675.0,675.0,1.3626,,20.200001,1.79,0.27,7896.0,,,,,1197.75
2010-11-16,83.98,1349.0,25.48,1658.0,661.0,1.3612,,22.58,1.75,0.21,31565.0,,,,,1178.34
2010-11-17,83.36,1337.5,25.2,1637.0,649.0,1.3481,,21.76,1.76,0.25,30514.0,,,,,1178.59
2010-11-18,83.7,1350.25,26.57,1656.0,684.0,1.3647,,18.75,1.73,0.26,34674.0,,,,,1196.69
2010-11-19,83.17,1342.5,27.07,1650.0,695.0,1.3674,,18.040001,1.70,0.27,1995.0,,,,,1199.73
2010-11-20,,,,,,,,,,0.26,13526.0,,,,,
2010-11-21,,,,,,,,,,0.26,709.0,,,,,
2010-11-22,82.34,1356.5,27.42,1657.0,700.0,1.3647,,18.370001,1.64,0.27,26246.0,,,,,1197.84
2010-11-23,82.37,1377.5,27.31,1640.0,674.0,1.3496,,20.629999,1.63,0.26,4504.0,,,,,1180.73
2010-11-24,84.53,1372.5,27.41,1662.0,694.0,1.3339,,19.559999,1.73,0.27,2342.0,,,,,1198.35
2010-11-25,84.655,1373.25,27.44,1655.0,697.0,1.3321,,20.889999000000003,.,0.26,1555.0,,,,,
